id,gid,x,y,v_x,v_y,radius,time
6,6,0.557500,-1.507470,0.354114,1.366254,0.500000,4.600000
7,7,2.029999,-2.225952,-1.103255,0.768687,0.500000,4.600000
0,0,1.341815,0.529642,-1.552232,0.528763,0.500000,4.700000
1,1,2.701937,1.983653,0.133446,-0.560800,0.500000,4.700000
2,2,-0.073249,2.838449,-0.427500,-0.284585,0.500000,4.700000
3,3,-1.178849,0.652488,0.430179,-1.818106,0.500000,4.700000
4,4,-3.092669,-0.147231,1.359632,0.116722,0.500000,4.700000
5,5,-2.061248,-1.773449,0.128671,0.174085,0.500000,4.700000
6,6,0.557716,-1.337214,0.002161,1.702560,0.500000,4.700000
7,7,1.943402,-2.157240,-0.865972,0.687117,0.500000,4.700000
0,0,1.186228,0.584500,-1.555867,0.548582,0.500000,4.800000
1,1,2.689825,1.922443,-0.121118,-0.612102,0.500000,4.800000
2,2,-0.127930,2.824008,-0.546808,-0.144410,0.500000,4.800000
3,3,-1.153941,0.462324,0.249077,-1.901647,0.500000,4.800000
4,4,-2.958198,-0.144997,1.344713,0.022340,0.500000,4.800000
5,5,-2.039508,-1.750882,0.217402,0.225669,0.500000,4.800000
6,6,0.573769,-1.181042,0.160526,1.561724,0.500000,4.800000
7,7,1.865446,-2.084388,-0.779557,0.728523,0.500000,4.800000
0,0,1.023630,0.617980,-1.625976,0.334799,0.500000,4.900000
1,1,2.628699,1.843088,-0.611260,-0.793553,0.500000,4.900000
